,id,genreId,gradeId,text
0,1,9,1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
"
1,2,4,1,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
"
2,3,7,1,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
"
3,4,9,1,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
"
4,5,7,2,"Kevin whirled around, but no one was there. ""Guys, this isn’t funny!” he called.
"
5,6,12,2,"Peyton stared at her teddy bear. She was right– it was winking at her!
"
6,7,5,2,"The genie came spilling out of the magic lamp. ""Careful on my hair with all that rubbing!” he said. 
"
7,8,12,2,"Sarah thought it was just a normal penny. Then it started to glow.
"
8,9,7,2,"Sarah saw a dark shape standing in the corner. When she blinked, it was gone.
"
9,10,7,2,"They say the ghost has no eyes. In their place are locks, which make a clinking sound as it moves.
"
10,11,5,2,"They say that the Gogg only comes out at night. But then how did it take my sister this morning? 
"
11,12,7,3,"“Joey, run!” she screamed. But Joey seemed to be unable to take his eyes away from the snake.
"
12,13,10,3,"“Good luck, boy!” she said, and her voice only shook a little. The dog rubbed her hand with his head before bounding into the night.
"
13,14,5,3,"The fairies floated down out of the trees in a shower of sparkles. “What kind of crazy bugs are those?!” he yelled, jumping back. 
"
14,15,10,3,"Oliver took his hands off his eyes and gasped. He had never seen a cake as big as him before!
"
15,16,5,3,"The queen ordered that there would be no more laughter in all the land. And then she farted.
"
16,17,8,3,"“I think that whoever took the class hamster just wanted a friend,” Miles said.

“Yeah right!” Fred replied. “Do you know how much hamsters are worth on the black market?”
"
17,18,2,3,"Did you know that human bodies give off light? Sadly, it’s such a tiny amount that we cannot see it with our bare eyes. Shine on, human friends!
"
18,19,4,3,"Maddy put the ring on her finger. When she looked down, her feet were gone. She was invisible!
"
19,20,11,3,"“An iPhone? That’s so old,” Kayla said. She blinked, and her brain computer turned on. 
"
20,21,8,3,"Under the magnifying glass, Edwin found a small purple feather. “To the zoo!” he cried. “No wait– to the costume room!”
"
21,22,10,3,"Mei dripped onto the tiled floor as she waited her turn. She counted four kids ahead of her in line for the diving board. <i>Maybe someone will pull the fire alarm before it gets to me</i>, she thought. <i>Or maybe one of the little kids will pee in the pool and turn it all purple and everyone will have to get out</i>. <i>Is that thing about turning the water purple even real?</i> There was a giant splash to her left. She took a step forward. Three kids ahead of her now. Her goggles felt weirdly tight on her head and were pulling her hairs. Voices and laughter echoed off the walls all around her. Another big splash. Two kids ahead of her now. <i>Why am I even doing this? I could just go back to the shallow end right now. </i>But she didn’t move. She watched the girl at the top leap off the board’s edge and curl herself into a cannon ball. The splash sent water running over Mei’s feet. <i>People do this all the time, right? It can’t be that bad, right? RIGHT?</i> She watched a pair of dripping feet climb the ladder in front of her. The smell of chlorine felt like it was stuck inside her nose. Another big splash. Mei’s turn.
"
22,23,4,3,"Noemi got down on her hands and knees and looked closer. One of the ants was wearing a tiny golden crown.
"
23,24,4,3,"They say that at the bottom of the lake lives the crotter. It has the back half of an otter, and the front claws of a crayfish.
"
24,25,10,3,"Once there was a little acorn. What it didn’t know, was that one day it would grow into the biggest oak tree on the block.
"
25,26,10,3,"The family was playing hide-and-seek. Grandma closed her eyes and started counting. Mom went to hide. Dad went to hide. Sarah went to hide. Mom hid in the closet. Dad hid behind the curtains. Sarah hid under the coffee table. They waited and waited in their hiding places. Grandma never came! Finally, Mom, Dad, and Sarah came out of their hiding places. They went to go find Grandma. They walked into the living room and saw Grandma on the couch. Grandma was fast asleep!
"
