passage_id,passage_text,question_text,correct_answer,gpt2_answer,bleu_score,nist_score
1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",Zeus turned lo into ______.,A cow.,"Yes, he did.",0.0,0.0
1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",Zeus turned lo into ______.,A cow.,‪Io‪ was a cow.,0.31947155212313627,0.5
1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
","What does the word ""whispered"" mean?",To speak softly and quietly.,"It means ""to whisper"" or ""to whisper something to someone.""",0.041961149062965476,0.23219280948873622
1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",Which question could NOT be answered by reading this passage?,What is Zeus' wife's name?,"""Which question could NOT be answered by reading this passage?""",0.0,0.0
1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",What happens to lo?,Io is turned into a cow.,Lo is turned into a cow.,0.7598356856515925,2.15413541726763
2,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
",What is the most likely genre of this story?,Fantasy,Fantasy.,0.3535533905932738,0.0
2,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
","What does the word ""boomed"" mean here?",Spoke in a loud voice,It means,0.0,0.0
2,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
",Why did the book's pages flutter?,Because the book was trying to get someone's attention.,Because it was a book.,0.0631690612820213,0.4431810704740528
2,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
",What does the book want?,To be read,To be read.,0.8408964152537145,1.5849625007211563
3,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
","What does it mean that Philip looked at the others with ""wide eyes""?",His eyelids were open very far.,It means that he is not sure what to do.,0.0,0.0
3,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
","Which word is an antonym for ""screamed""?",Whispered,"""Screamed"" is an antonym for ""screamed.""",0.0,0.0
3,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
",The mood of this passage is ________.,Scary,The mood of this passage is ________.,0.0,0.0
3,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
",What question might the reader of this story ask themselves?,What did Philip see that scared him so much?,What is the meaning of life?,0.049230261240159306,0.2641604167868593
3,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
",Which question would the reader NOT be likely to ask after reading this passage?,Does Philip have a loud voice?,"""Why did you leave?""",0.0,0.0
4,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
",Who is Zeus most likely angry with?,The humans.,The humans.,0.5946035575013605,1.0
4,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
","Which of Zeus' actions creates the mood of ""danger""?",Zeus threw a lighning bolt down to Earth.,The lightning bolt is the first action of the story.,0.041961149062965476,0.3
4,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
",What is the mood of this passage?,Endangerment,The mood is very dark.,0.0,0.0
4,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
",Which question would be most helpful for a reader to ask themselves when reading this passage?,What does it feel like to be angry?,"""What",0.0003223989607426581,3.626373597341106e-08
4,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
",What question would a good reader be wondering after reading this passage?,Why was Zeus angry?,"What is the meaning of the word ""God""?",0.0,0.0
262,"The elf fell out of the tree. ""I make toys. Climbing is not my strong suit.” he squeaked.
","Based on this passage, what do you think the elf likes to do?",Make toys.,He likes to climb.,0.0,0.0
262,"The elf fell out of the tree. ""I make toys. Climbing is not my strong suit.” he squeaked.
",Which description does NOT apply to the elf?,Likes climbing trees.,"""I make toys.",0.0,0.0
262,"The elf fell out of the tree. ""I make toys. Climbing is not my strong suit.” he squeaked.
",Where does this story most likely take place?,In a forest,It's a fantasy world.,0.15973577606156814,0.3962406251802891
262,"The elf fell out of the tree. ""I make toys. Climbing is not my strong suit.” he squeaked.
",What is the meaning of the word “squeak” as it is used in this passage?,A high pitched voice.,It is a word that is used to describe a person who is squeaky.,0.028398387225677897,0.14285714285714285
262,"The elf fell out of the tree. ""I make toys. Climbing is not my strong suit.” he squeaked.
",Where was the elf BEFORE he spoke?,In the tree.,He was in the tree.,0.3976353643835253,0.9509775004326938
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
",What were Marcia and Cody doing?,Setting a trap to catch the thief.,They were waiting for the thief to fall into their trap.,0.08913765521398126,1.0208563352936741
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
",True or False: Cody was trying to catch the thief alone.,False,True.,0.0,0.0
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
",How would Marcia and Cody know if their plan worked?,The thief would be caught in their trap.,They would have to be able to see the thief's face.,0.04932351569489709,0.8181818181818182
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
","Based on the passage, who most likely created the idea of trapping the thief?",Cody,It was probably the thief himself.,0.0,0.0
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
",Why do you think Marcia and Cody wanted to trap the thief?,Because the thief had stolen something.,Because they wanted to get rid of the thief.,0.10552670315936319,0.861654166907052
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
","Based on the title, what do you think this story is most focused on?",A trap,I think it's about a thief who is trying to steal a treasure from a castle.,0.024455939372403618,0.0625
265,"""What do we do now?” Marcia asked Cody.

""Now we wait for the thief to fall into our trap!” Cody replied.
",How do you think Marcia feels in this passage?,Anxious,She is very happy.,0.0,0.0
271,"The great oak tree looked down at the small wizard in his pointy hat. ""You have got to be kidding me!” it said. ""No tree in their right root would agree to that!”
",What most likely happened between the oak tree and wizard right before this moment?,The wizard asked the oak tree for a crazy favor.,The wizard was trying to get the tree to agree to the plan.,0.07347053125977877,0.9516189009909835
271,"The great oak tree looked down at the small wizard in his pointy hat. ""You have got to be kidding me!” it said. ""No tree in their right root would agree to that!”
","Reread this sentence: ""No tree in their right root would agree to that!"" The term ""right root"" is a joke based on which common saying?",Right mind,"""No tree in their right root would agree to that!""",0.041961149062965476,0.1
