id,genreId,gradeId,bookId,passageLengthId,readingLevel,fleschKincaidLevel,name,text,disabled,pending,updatedAt,createdAt,passageNumber
1,9,1,,2,0.6,1.2,Io,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",0,0,2019-09-05 16:32:25,2019-03-20 20:03:03,
2,4,1,,2,1.2,-0.2,Sentient Story,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
",0,0,2019-09-05 16:19:59,2019-03-20 20:03:03,
3,7,1,,2,1.2,-0.2,Terror,"Philip looked at the others with wide eyes. ""We have to get out of here!” he screamed.
",0,0,2019-09-05 16:30:34,2019-03-20 20:03:03,
4,9,1,,2,1.8,0.5,Zeus' Lightning Bolt,"Zeus was angry. In his rage he threw a lightning bolt down to Earth. The dark sky flashed white. The humans looked up in fear.
",0,0,2019-09-05 16:32:44,2019-03-20 20:03:03,
5,7,2,,2,2.0,1.4,Not A Joke,"Kevin whirled around, but no one was there. ""Guys, this isn’t funny!” he called.
",0,0,2019-09-05 16:31:01,2019-03-20 20:03:03,
6,12,2,,2,2.1,1.5,Winking Teddy,"Peyton stared at her teddy bear. She was right– it was winking at her!
",0,0,2019-09-05 16:18:49,2019-03-20 20:03:03,
7,5,2,,2,2.2,1.8,Hair Genie,"The genie came spilling out of the magic lamp. ""Careful on my hair with all that rubbing!” he said. 
",0,0,2019-09-05 16:28:55,2019-03-20 20:03:03,
8,12,2,,2,2.4,2.4,The Magic Penny,"Sarah thought it was just a normal penny. Then it started to glow.
",0,0,2019-09-05 16:19:12,2019-03-20 20:03:03,
9,7,2,,2,2.5,1.5,Trick of the Light,"Sarah saw a dark shape standing in the corner. When she blinked, it was gone.
",0,0,2019-09-05 16:31:15,2019-03-20 20:03:03,
10,7,2,,2,2.6,0.7,Locks for Eyes,"They say the ghost has no eyes. In their place are locks, which make a clinking sound as it moves.
",0,0,2019-09-05 16:31:29,2019-03-20 20:03:03,
11,5,4,,2,2.7,1.9,The Gogg,"They say that the Gogg only comes out at night. But then how did it take my sister this morning? 
",0,0,2020-06-29 21:24:23,2019-03-20 20:03:03,
12,7,3,,2,2.7,0.5,Hypnotized,"“Joey, run!” she screamed. But Joey seemed to be unable to take his eyes away from the snake.
",0,0,2019-02-12 17:21:36,2019-03-20 20:03:03,
13,10,3,,2,3.0,2.3,Dog Courage,"“Good luck, boy!” she said, and her voice only shook a little. The dog rubbed her hand with his head before bounding into the night.
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
14,5,3,,2,3.1,2.3,Fairy Bugs,"The fairies floated down out of the trees in a shower of sparkles. “What kind of crazy bugs are those?!” he yelled, jumping back. 
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
15,10,3,,2,3.2,1.9,The Biggest Cake,"Oliver took his hands off his eyes and gasped. He had never seen a cake as big as him before!
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
17,8,3,,2,3.2,1.5,Hamster Motives,"""I think that whoever took the class hamster just wanted a friend,” Miles said.

""Yeah right!” Fred replied. ""Do you know how much hamsters are worth if you trade one on the playground?”
",0,0,2020-05-25 19:33:22,2019-03-20 20:03:03,
18,2,3,,2,3.2,2.8,Body Light,"Did you know that human bodies give off light? Sadly, it’s such a tiny amount that we cannot see it with our bare eyes. Shine on, human friends!
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
19,4,3,,2,3.3,1.8,Invisibility,"Maddy put the ring on her finger. When she looked down, her feet were gone. She was invisible!
",0,0,2019-02-12 17:21:36,2019-03-20 20:03:03,
20,11,3,,2,3.4,1.3,Future Brain,"“An iPhone? That’s so old,” Kayla said. She blinked, and her brain computer turned on. 
",0,0,2019-02-12 17:21:36,2019-03-20 20:03:03,
21,8,3,,2,3.4,2.2,Purple Feather,"Under the magnifying glass, Edwin found a small purple feather. “To the zoo!” he cried. “No wait– to the costume room!”
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
22,10,3,,4,3.5,2.5,Mei's Turn,"Mei dripped onto the tiled floor as she waited her turn. She counted four kids ahead of her in line for the diving board. <i>Maybe someone will pull the fire alarm before it gets to me</i>, she thought. There was a giant splash to her left. She took a step forward. Three kids ahead of her now. Her goggles felt weirdly tight on her head and were pulling her hairs. Voices and laughter echoed off the walls all around her. Another big splash. Two kids ahead of her now. <i>Why am I even doing this? I could just go back to the shallow end right now. </i>But she didn’t move. She watched the girl at the top leap off the board’s edge and curl herself into a cannonball. The splash sent water running over Mei’s feet. <i>People do this all the time, right? It can’t be that bad, right? RIGHT?</i> She watched a pair of dripping feet climb the ladder in front of her. The smell of chlorine felt like it was stuck inside her nose. Another big splash. Mei’s turn.
",0,0,2020-05-08 22:51:27,2019-03-20 20:03:03,
23,4,3,,2,3.5,3.1,Ant Queen,"Noemi got down on her hands and knees and looked closer. One of the ants was wearing a tiny golden crown.
",0,0,2019-02-12 17:21:36,2019-03-20 20:03:03,
24,4,3,,2,3.5,3.2,The Crotter,"They say that at the bottom of the lake lives the crotter. It has the back half of an otter, and the front claws of a crayfish.
",0,0,2019-02-12 17:21:36,2019-03-20 20:03:03,
25,10,3,,2,3.6,3.4,The Little Acorn That Could,"Once there was a little acorn. What it didn’t know, was that one day it would grow into the biggest oak tree on the block.
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
26,10,3,,4,3.6,3.0,Hide and Sleep,"The family was playing hide-and-seek. Grandma closed her eyes and started counting. Mom went to hide. Dad went to hide. Sarah went to hide. Mom hid in the closet. Dad hid behind the curtains. Sarah hid under the coffee table. They waited and waited in their hiding places. Grandma never came! Finally, Mom, Dad, and Sarah came out of their hiding places. They went to go find Grandma. They walked into the living room and saw Grandma on the couch. Grandma was fast asleep!
",0,0,2019-01-25 20:47:44,2019-03-20 20:03:03,
