id,passageId,skillId,skillTierId,questionTypeId,question,potentialAnswers,correctAnswers,atLeast,difficulty,disabled,rationale,updatedAt,createdAt,commonCoreId,isDeleted,Question Type
3,241,5,1,1,What characteristic would you use to describe Clara? Select the word that best describes Clara based on the text. ,"[""Antsy"", ""Attentive"", ""Artistic"", ""Athletic""]","[""Attentive""]",,7,0,,2020-08-30 17:20:59,2019-03-20 20:03:16,57,0,Inferential
6,241,13,1,1," In this line, ""Annie loved robotics and was always tinkering with some gizmo or gadget,"" what is meant by the word, ""tinkering""?","[""Showing off"", ""Carrying"", ""Taking apart and fixing"", ""Making something prettier""]","[""Taking apart and fixing""]",,7,0,,2020-06-03 18:33:53,2019-03-20 20:03:16,58,0,Inferential
7,241,8,1,1,Which detail from the text best indicates which suspect is guilty of taking the nose?  ,"[""\""[Drew] was so allergic to the polish they used on all the statues in the museum that his nose had been running all day!\"""", ""\""Instead, Ms.Snootle simply turned her big grey bushy head away from the statue to shield her eyes, and began yelling at the tour guide... \"""", ""\""Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet, since all it had were bottle caps for eyes, a tube of lipstick for a nose...\"""", ""\""...a member of the museum staff asked everyone to check inside their bags and pockets for the nose.\""""]","[""\""[Drew] was so allergic to the polish they used on all the statues in the museum that his nose had been running all day!\""""]",,7,0,,2020-08-30 17:15:40,2019-03-20 20:03:16,55,0,Inferential
8,241,8,1,1,True or False: Clara likes Ms. Snootle. ,"[""True"", ""False""]","[""False""]",,7,0,,2020-08-30 17:18:44,2019-03-20 20:03:16,57,0,Inferential
9,241,1,1,4,What do you think will happen to the class after the suspect is caught? Select all answers that are most likely to happen. ,"[""The museum staff will let them keep the nose."", ""They will be forced to return the nose to the museum staff."", ""They will not be allowed to come back to the museum.""]","[""They will be forced to return the nose to the museum staff."", ""They will not be allowed to come back to the museum.""]",,7,0,,2020-08-30 17:24:50,2019-03-20 20:03:16,117,0,Inferential
10,241,1,1,1,Reread the last paragraph of the passage. Who is the most likely nose thief?,"[""Drew Doodleson"", ""Ms.Snootle"", ""Annie \""The Android\"" Anderson"", ""The Nosy General""]","[""Drew Doodleson""]",,7,0,,2020-06-03 18:34:43,2019-03-20 20:03:16,55,0,Inferential
11,241,5,1,1,"Based on the passage, select the adjective that best describes Annie:","[""Innovative"", ""Strong"", ""Boring"", ""Elderly""]","[""Innovative""]",,7,0,,2020-08-30 17:21:57,2019-03-20 20:03:16,57,0,Inferential
12,241,8,1,1,Which of the following lines from the text tells the reader Clara's explanation of why Annie might steal the nose? ,"[""\""Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet...\"""", ""\""Annie loved robotics\"""", ""\""[Annie] was always tinkering with some gizmo or gadget\"""", ""\""Lately she had been bragging about the life-size robot she was building\""""]","[""\""Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet...\""""]",,7,0,,2020-08-30 17:23:28,2019-03-20 20:03:16,55,0,Inferential
13,81,5,1,1,"After reading this passage, which word best describes the man?","[""Friendly"", ""Lazy"", ""Mean"", ""Loving""]","[""Mean""]",,3,0,,2020-05-31 20:32:52,2019-03-20 20:03:16,3,0,Inferential
14,81,1,1,1,What do you think Abbatha is going to do next?,"[""Swing down to the ground and run home."", ""Bite the man's ear until he has made up for his bad deed."", ""Braid the man's hair."", ""Whisper in his ear how to make up for his bad deed.""]","[""Whisper in his ear how to make up for his bad deed.""]",,4,0,,2020-05-31 20:33:28,2019-03-20 20:03:16,30,0,Inferential
17,81,14,1,1,What was the author’s main purpose in writing this story?,"[""Persuade"", ""Inform"", ""Entertain"", ""Teach a lesson""]","[""Entertain""]",,4,0,,2020-05-31 20:34:08,2019-03-20 20:03:16,34,0,Inferential
18,81,20,1,4,What does it mean “to make her voice sound serious and impressive?” (Choose all of the correct answers.),"[""Sincere"", ""Playful"", ""Respectful"", ""Silly""]","[""Sincere"", ""Respectful""]",,4,0,,2020-11-06 16:22:06,2019-03-20 20:03:16,19,0,Inferential
19,81,13,1,4,Which words are synonyms for “wicked?”,"[""Kind"", ""Evil"", ""Naughty"", ""Nice""]","[""Evil"", ""Naughty""]",,4,0,,2020-11-06 16:23:53,2019-03-20 20:03:16,19,0,Inferential
