id,passageId,skillId,questionTypeId,"question","potentialAnswers","correctAnswers",atLeast,difficulty,disabled,"rationale","updatedAt","createdAt",commonCoreId
1,367,20,1,"What is Aidan and Megan's last name?","[\"Sproule\", \"Rivard\", \"Spencer\", \"Lutz\"]","[\"Spencer\"]",NULL,1,0,NULL,"2019-09-23 18:26:29","2019-03-20 20:03:16",85
2,241,5,1,"Which character is not a suspect?","[\"Drew\", \"Clara\", \"Ms. Snootle\", \"Annie\"]","[\"Clara\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
3,241,5,1,"What characteristic would you use to describe Clara? Select the word that best describes Clara based on the text. ","[\"Antsy\", \"Attentive\", \"Artistic\", \"Athletic\"]","[\"Attentive\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
4,241,3,1,"True or False: Someone in the class stole the nose. ","[\"True\", \"False\"]","[\"True\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
5,241,28,1,"What is the main character's problem in the passage, \"A Nose for Clues\"?  ","[\"She isn't sure how to get home from the museum.\", \"She has very bad allergies.\", \"She isn't sure who stole the nose from a famous statue.\", \"She is not good at drawing.\"]","[\"She isn't sure who stole the nose from a famous statue.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
6,241,13,1," In this line:  \"Annie loved robotics and was always tinkering with some gizmo or gadget\", what is meant by the word, \"tinkering\"?","[\"Showing off\", \"Carrying\", \"Taking apart and fixing\", \"Making something prettier\"]","[\"Taking apart and fixing\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
7,241,8,1,"Which detail from the text best indicates which suspect is guilty of taking the nose?  ","[\"\\\"[Drew] was so allergic to the polish they used on all the statues in the museum that his nose had been running all day!\\\"\", \"\\\"Instead, Ms.Snootle simply turned her big grey bushy head away from the statue to shield her eyes, and began yelling at the tour guide... \\\"\", \"\\\"Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet, since all it had were bottle caps for eyes, a tube of lipstick for a nose...\\\"\", \"\\\"...a member of the museum staff asked everyone to check inside their bags and pockets for the nose.\\\"\"]","[\"\\\"[Drew] was so allergic to the polish they used on all the statues in the museum that his nose had been running all day!\\\"\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
8,241,8,1,"True or False: Clara likes Ms. Snootle. ","[\"True\", \"False\"]","[\"False\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
9,241,1,4,"What do you think will happen to the class after the suspect is caught? Select all answers that are most likely to happen. ","[\"The museum staff will let them keep the nose.\", \"They will be forced to return the nose to the museum staff.\", \"They will not be allowed to come back to the museum.\"]","[\"They will be forced to return the nose to the museum staff.\", \"They will not be allowed to come back to the museum.\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
10,241,1,1,"Reread the last paragraph of the passage. Who is the most likely nose thief?","[\"Drew Doodleson\", \"Ms.Snootle\", \"Annie \\\"The Android\\\" Anderson\", \"General Schnozz\"]","[\"Drew Doodleson\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
11,241,5,1,"Based on the passage, select the adjective that best describes Annie:","[\"Innovative\", \"Strong\", \"Boring\", \"Elderly\"]","[\"Innovative\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
12,241,8,1,"Which of the following lines from the text tells the reader Clara's explanation of why Annie might steal the nose? ","[\"\\\"Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet...\\\"\", \"\\\"Annie loved robotics\\\"\", \"\\\"[Annie] was always tinkering with some gizmo or gadget\\\"\", \"\\\"Lately she had been bragging about the life-size robot she was building\\\"\"]","[\"\\\"Apparently, the only problem with it was that she hadn’t been able to make the robot’s face look exactly human yet...\\\"\"]",NULL,7,0,NULL,"2019-11-11 16:57:16","2019-03-20 20:03:16",NULL
13,81,5,1,"After reading this passage, which word best describes the man?","[\"Friendly\", \"Lazy\", \"Mean\", \"Loving\"]","[\"Mean\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
14,81,1,1,"What do you think Abbatha is going to do next?","[\"Swing down to the ground and run home.\", \"Bite the man's ear until he has made up for his bad deed.\", \"Braid the man's hair.\", \"Whisper in his ear how to make up for his bad deed.\"]","[\"Whisper in his ear how to make up for his bad deed.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
15,81,26,1,"Who is the main character in this story?","[\"The wicked man.\", \"The kittens.\", \"Abbatha\", \"The people in the market.\"]","[\"Abbatha\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
16,81,49,3,"Put these events in the order they happened in the story.","[\"Abbatha told the man he had done a bad deed.\", \"Abbatha was standing on the windowsill.\", \"Abbatha jumped on the brim of his  hat.\", \"The wicked man put Abbatha in his coat pocket.\", \"Abbatha climbed up the seams of the old man’s coat.\"]","[\"Abbatha was standing on the windowsill.\", \"The wicked man put Abbatha in his coat pocket.\", \"Abbatha climbed up the seams of the old man’s coat.\", \"Abbatha jumped on the brim of his  hat.\", \"Abbatha told the man he had done a bad deed.\"]",NULL,3,0,NULL,"2019-08-01 14:34:19","2019-03-20 20:03:16",NULL
17,81,14,1,"What was the author’s main purpose in writing this story?","[\"Persuade\", \"Inform\", \"Entertain\", \"Teach a lesson\"]","[\"Entertain\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
18,81,20,4,"What does it mean “to make her voice sound serious and impressive?” (Choose all of the correct answers.)","[\"Sincere\", \"Playful\", \"Respectful\", \"Silly\"]","[\"Sincere\", \"Respectful\"]",NULL,4,0,NULL,"2019-08-01 14:34:18","2019-03-20 20:03:16",NULL
