id,skillId,passageId,questionTypeId,question,potentialAnswers,correctAnswers,QuestionType
24,3.0,240,1,Flush toilets have been around since:,"[""Clay was invented."", ""1900 BCE."", ""People needed fertilizer."", ""People lived in cities.""]","[""1900 BCE.""]",Inferential
39,3.0,224,1,Why did the Aztecs use cocoa beans as money?,"[""There weren't many cocoa trees."", ""They smelled better than the other kinds of money."", ""They could do more with the beans than they could with regular money."", ""The beans were seen as valuable and could be used to barter.""]","[""The beans were seen as valuable and could be used to barter.""]",Inferential
52,3.0,242,1,Which of the following descriptions best matches Caligula's relationship with his horse?,"[""Caligula neglected to care for the needs of his horse, Incitatus, often forgetting to leave out food and clean water."", ""Caligula preferred to ride Incitatus (rather than his other horses) into battle because Incitatus was known for being exceptionally swift."", ""Caligula had a highly elevated impression of Incitatus, regarding the horse like a person or sometimes even like a god."", ""Caligula enjoyed riding Incitatus, and treated the horse like a beloved family pet.""]","[""Caligula had a highly elevated impression of Incitatus, regarding the horse like a person or sometimes even like a god.""]",Inferential
85,3.0,221,1,"Why did Mustafa get a feeling like ""an icy stone falling into his stomach"" after he first woke up?","[""He was cold upon waking."", ""He was not feeling well."", ""He was excited about his dream."", ""He remembered what happened during the night.""]","[""He remembered what happened during the night.""]",Inferential
116,3.0,357,1,How does the main character have fun at the playground?,"[""Pretending to be different animals."", ""Climbing on the monkey bars."", ""Running and playing tag."", ""Going on the swings.""]","[""Pretending to be different animals.""]",Inferential
117,3.0,357,1,The child in the story is having: _________.,"[""Fun"", ""No fun"", ""A boring day"", ""A sad day""]","[""Fun""]",Inferential
169,3.0,11,1,What was unusual about what the Gogg did?,"[""He got caught trying to kidnap someone but usually isn't caught."", ""He took a girl in the morning, but he usually takes people at nighttime."", ""He took a sister, but did not take the narrator, as well.""]","[""He took a girl in the morning, but he usually takes people at nighttime.""]",Inferential
186,3.0,100,1,"Why is Lulu unhappy with her nickname, ""Loosey-Goosey?""","[""Lulu believes she has outgrown nicknames and wants to be called by her actual name."", ""Another student in Lulu's class has a similar nickname and teachers keep on confusing them."", ""Lulu wants to pick her own nickname, not have one that her family gave to her."", ""Lulu realizes that her nickname highlights one of her weaknesses and doesn't like that.""]","[""Lulu realizes that her nickname highlights one of her weaknesses and doesn't like that.""]",Inferential
201,3.0,201,1,"True or False: During the Middle Ages, people believed animals could be guilty criminals exactly like people.","[""True"", ""False""]","[""False""]",Inferential
220,3.0,22,1,How does Mei feel about diving into the pool?,"[""Eager and enthusiastic"", ""Uncertain and afraid"", ""Disinterested and detached"", ""Angry and bitter""]","[""Uncertain and afraid""]",Inferential
247,3.0,149,1,True or False: The events in this story could not really happen.,"[""True"", ""False""]","[""False""]",Inferential
462,3.0,374,1,What was the effect of the cake looking so good?,"[""Wally played birthday games."", ""Wally made Roger cry."", ""Wally ate the cake."", ""Roger was upset.""]","[""Wally ate the cake.""]",Inferential
602,3.0,365,1,Why did the climbers leave Everest early in 2014?,"[""It was too cold to climb."", ""An avalanche killed 16 people."", ""A block of ice the size of a mansion roared down the mountain."", ""There were not enough guides to help people.""]","[""An avalanche killed 16 people.""]",Inferential
607,3.0,365,1,How old was the narrator when he started dreaming of climbing Everest?,"[""13"", ""7"", ""5"", ""16""]","[""7""]",Inferential
