id,genreId,gradeId,text,passageId,skillId,questionTypeId,question,potentialAnswers,correctAnswers,Question Type
1,9,1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",1,3.0,1,Zeus turned lo into ______.,"[""his wife."", ""a cat."", ""a pig."", ""a cow.""]","[""a cow.""]",Literal
1,9,1,"""Oh no, my wife is coming!” Zeus whispered to Io. ""Quick, I’ll turn you into a cow!”
",1,3.0,1,What happens to lo?,"[""Io is turned into a cow."", ""Nothing."", ""Zeus and lo run away."", ""Zeus and lo continue to talk.""]","[""Io is turned into a cow.""]",Inferential
2,4,1,"The book’s pages fluttered, and then it spoke in a deep voice. ""Read me!” it boomed.
",2,3.0,1,What does the book want?,"[""To be opened"", ""To be read"", ""To be closed"", ""To be left alone""]","[""To be read""]",Literal
6,12,2,"Peyton stared at her teddy bear. She was right– it was winking at her!
",6,3.0,1,What is surprising about Peyton's teddy bear?,"[""It's bigger than she is."", ""It has a large hole in it."", ""It winked at her."", ""It always shows up again whenever she loses it.""]","[""It winked at her.""]",Literal
6,12,2,"Peyton stared at her teddy bear. She was right– it was winking at her!
",6,3.0,1,Why was Peyton staring at her teddy bear?,"[""She was trying to decide whether to pack it and bring him on a trip."", ""She was playing with it."", ""She was deciding whether or not she liked it."", ""She thought she saw it wink at her.""]","[""She thought she saw it wink at her.""]",Literal
8,12,2,"Sarah thought it was just a normal penny. Then it started to glow.
",8,3.0,1,What is unusual about Sarah's penny?,"[""It is bigger than a usual penny."", ""It is very dirty."", ""It glows."", ""It is made of gold.""]","[""It glows.""]",Literal
10,7,2,"They say the ghost has no eyes. In their place are locks, which make a clinking sound as it moves.
",10,3.0,1,Where does the clinking sound come from?,"[""The locks"", ""Footsteps"", ""The ghost's eyes"", ""The ghost's chains""]","[""The locks""]",Literal
10,7,2,"They say the ghost has no eyes. In their place are locks, which make a clinking sound as it moves.
",10,3.0,1,True or false: The ghost wore locks on top of their head.,"[""True"", ""False""]","[""False""]",Literal
11,5,4,"They say that the Gogg only comes out at night. But then how did it take my sister this morning? 
",11,3.0,1,What was unusual about what the Gogg did?,"[""He got caught trying to kidnap someone but usually isn't caught."", ""He took a girl in the morning, but he usually takes people at nighttime."", ""He took a sister, but did not take the narrator, as well.""]","[""He took a girl in the morning, but he usually takes people at nighttime.""]",Inferential
11,5,4,"They say that the Gogg only comes out at night. But then how did it take my sister this morning? 
",11,3.0,1,True or False: The narrator of this story was kidnapped.,"[""True"", ""False""]","[""False""]",Literal
15,10,3,"Oliver took his hands off his eyes and gasped. He had never seen a cake as big as him before!
",15,3.0,1,Why did Oliver gasp when he saw the cake?,"[""The cake was falling over."", ""The cake is decorated in a very cool way."", ""Someone had already eaten a slice of the cake."", ""The cake was as large as him.""]","[""The cake was as large as him.""]",Inferential
15,10,3,"Oliver took his hands off his eyes and gasped. He had never seen a cake as big as him before!
",15,3.0,1,The cake in this passage is unusual because:,"[""It is very small."", ""It is the exact same size as Oliver."", ""It is the only cake Oliver has ever received."", ""It has pickle-flavored frosting.""]","[""It is the exact same size as Oliver.""]",Literal
17,8,3,"""I think that whoever took the class hamster just wanted a friend,” Miles said.

""Yeah right!” Fred replied. ""Do you know how much hamsters are worth if you trade one on the playground?”
",17,3.0,1,What happened to the class hamster?,"[""Someone stole it"", ""Someone fed it"", ""Someone gave it a haircut"", ""Someone swapped it with a gerbil""]","[""Someone stole it""]",Literal
21,8,3,"Under the magnifying glass, Edwin found a small purple feather. “To the zoo!” he cried. “No wait– to the costume room!”
",21,3.0,1,What did Edwin use to find the purple feather?,"[""A pair of glasses"", ""A magnifying glass"", ""A flashlight"", ""A telescope""]","[""A magnifying glass""]",Literal
22,10,3,"Mei dripped onto the tiled floor as she waited her turn. She counted four kids ahead of her in line for the diving board. <i>Maybe someone will pull the fire alarm before it gets to me</i>, she thought. There was a giant splash to her left. She took a step forward. Three kids ahead of her now. Her goggles felt weirdly tight on her head and were pulling her hairs. Voices and laughter echoed off the walls all around her. Another big splash. Two kids ahead of her now. <i>Why am I even doing this? I could just go back to the shallow end right now. </i>But she didn’t move. She watched the girl at the top leap off the board’s edge and curl herself into a cannonball. The splash sent water running over Mei’s feet. <i>People do this all the time, right? It can’t be that bad, right? RIGHT?</i> She watched a pair of dripping feet climb the ladder in front of her. The smell of chlorine felt like it was stuck inside her nose. Another big splash. Mei’s turn.
",22,3.0,1,How does Mei feel about diving into the pool?,"[""Eager and enthusiastic"", ""Uncertain and afraid"", ""Disinterested and detached"", ""Angry and bitter""]","[""Uncertain and afraid""]",Inferential
26,10,3,"The family was playing hide-and-seek. Grandma closed her eyes and started counting. Mom went to hide. Dad went to hide. Sarah went to hide. Mom hid in the closet. Dad hid behind the curtains. Sarah hid under the coffee table. They waited and waited in their hiding places. Grandma never came! Finally, Mom, Dad, and Sarah came out of their hiding places. They went to go find Grandma. They walked into the living room and saw Grandma on the couch. Grandma was fast asleep!
",26,3.0,1,"Why didn't Grandma find Mom, Dad, or Sarah during their game of hide-and-seek?","[""Mom, Dad, and Sarah had such great hiding places that Grandma couldn't find them."", ""Grandma was lazy and did not bother to look for Mom, Dad, or Sarah."", ""Mom, Dad, and Sarah were all hiding in the same place."", ""Grandma fell asleep when she closed her eyes to count.""]","[""Grandma fell asleep when she closed her eyes to count.""]",Literal
28,5,3,"The sword glowed blue in the princess’ hand. She raised it high as the crowd loudly cheered.
",28,3.0,1,What did the sword do when the princess held it?,"[""It started shaking."", ""It lifted into the air."", ""It made a loud sound."", ""It glowed blue.""]","[""It glowed blue.""]",Literal
